Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;23/12/2024;13:30:00;122.540;122.625;122.515;122.600;2.723.578.676,00;111.093
WINFUT;23/12/2024;13:20:00;122.470;122.550;122.435;122.535;2.449.752.309,00;100.001
WINFUT;23/12/2024;13:10:00;122.510;122.535;122.465;122.470;2.173.492.929,00;88.715
WINFUT;23/12/2024;13:00:00;122.530;122.605;122.495;122.515;2.888.771.993,00;117.864
WINFUT;23/12/2024;12:50:00;122.510;122.630;122.430;122.530;4.586.586.794,00;187.143
WINFUT;23/12/2024;12:40:00;122.530;122.555;122.440;122.505;3.571.986.191,00;145.791
WINFUT;23/12/2024;12:30:00;122.440;122.620;122.365;122.525;5.491.166.961,00;224.155
WINFUT;23/12/2024;12:20:00;122.360;122.455;122.295;122.435;5.129.977.486,00;209.607
WINFUT;23/12/2024;12:10:00;122.315;122.370;122.210;122.360;6.333.795.501,00;258.958
WINFUT;23/12/2024;12:00:00;122.495;122.545;122.310;122.320;6.852.055.856,00;279.826
WINFUT;23/12/2024;11:50:00;122.535;122.600;122.450;122.490;5.529.597.570,00;225.667
WINFUT;23/12/2024;11:40:00;122.735;122.750;122.515;122.540;7.442.666.452,00;303.466
WINFUT;23/12/2024;11:30:00;123.080;123.130;122.725;122.730;8.625.710.401,00;350.845
WINFUT;23/12/2024;11:20:00;123.110;123.155;123.030;123.075;4.998.861.650,00;203.060
WINFUT;23/12/2024;11:10:00;122.750;123.115;122.715;123.105;7.309.215.423,00;297.184
WINFUT;23/12/2024;11:00:00;122.945;122.960;122.710;122.745;6.060.092.380,00;246.736
WINFUT;23/12/2024;10:50:00;122.905;123.030;122.850;122.940;5.140.972.987,00;209.106
WINFUT;23/12/2024;10:40:00;122.850;122.940;122.775;122.905;5.222.468.697,00;212.527
WINFUT;23/12/2024;10:30:00;122.925;123.110;122.815;122.845;8.578.180.765,00;348.839
WINFUT;23/12/2024;10:20:00;123.085;123.085;122.750;122.925;8.396.224.374,00;341.608
WINFUT;23/12/2024;10:10:00;123.145;123.345;123.015;123.085;10.955.126.804,00;444.706
WINFUT;23/12/2024;10:00:00;122.865;123.315;122.825;123.145;10.696.999.959,00;434.425
WINFUT;23/12/2024;09:50:00;122.760;122.965;122.755;122.860;5.013.873.901,00;204.025
WINFUT;23/12/2024;09:40:00;122.820;122.875;122.755;122.760;3.546.215.429,00;144.382
WINFUT;23/12/2024;09:30:00;122.875;122.925;122.615;122.825;8.096.724.241,00;329.774
WINFUT;23/12/2024;09:20:00;123.055;123.125;122.870;122.875;5.560.528.253,00;226.062
WINFUT;23/12/2024;09:10:00;123.315;123.345;123.030;123.050;7.803.479.127,00;316.760
WINFUT;23/12/2024;09:00:00;123.450;123.570;123.270;123.315;7.534.399.887,00;305.291
WINFUT;20/12/2024;18:20:00;123.905;123.945;123.775;123.945;691.951.099,00;27.929
WINFUT;20/12/2024;18:10:00;123.775;123.980;123.685;123.905;2.982.058.838,00;120.400
WINFUT;20/12/2024;18:00:00;123.490;123.900;123.475;123.780;3.564.223.251,00;144.021
WINFUT;20/12/2024;17:50:00;123.570;123.705;123.415;123.490;3.569.659.178,00;144.446
WINFUT;20/12/2024;17:40:00;123.495;123.580;123.375;123.565;3.170.646.329,00;128.407
WINFUT;20/12/2024;17:30:00;123.510;123.565;123.370;123.490;3.839.167.332,00;155.472
WINFUT;20/12/2024;17:20:00;123.610;123.680;123.490;123.510;2.670.093.825,00;108.028
WINFUT;20/12/2024;17:10:00;123.460;123.685;123.430;123.615;3.469.001.848,00;140.356
WINFUT;20/12/2024;17:00:00;123.550;123.610;123.460;123.465;3.132.940.074,00;126.802
WINFUT;20/12/2024;16:50:00;123.680;123.720;123.525;123.550;2.737.320.473,00;110.697
WINFUT;20/12/2024;16:40:00;123.625;123.745;123.600;123.680;3.366.712.416,00;136.114
WINFUT;20/12/2024;16:30:00;123.890;123.955;123.620;123.625;4.123.039.520,00;166.496
WINFUT;20/12/2024;16:20:00;123.900;123.930;123.780;123.890;2.989.211.645,00;120.658
